sure,gamble,gambleProb,Rows,CueType,gambleWinLoss,sureWinLoss,WinLossCode,WinLoss,Evgamble,riskyAdDis,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instructions.started,Instructions.stopped,space.keys,space.rt,space.started,space.stopped,instruct2.started,instruct2.stopped,enter.keys,enter.rt,enter.started,enter.stopped,isi2.started,isi2.stopped,text.started,text.stopped,Line.started,Line.stopped,choice.keys,choice.rt,choice.started,choice.stopped,GambleAmt.started,GambleAmt.stopped,SureAmt.started,SureAmt.stopped,GambleProb.started,GambleProb.stopped,SureProb.started,SureProb.stopped,blank.started,blank.stopped,moneyBank.started,moneyBank.stopped,earningsText.started,earningsText.stopped,text_2.started,text_2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,cue.started,cue.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,11.26115600002231,None,space,3.241924799978733,11.26115600002231,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_21_1515,SlotMachTest,3.2.4,59.70929930923819,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.533838199975435,None,return,1.2166355999652296,14.533838199975435,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_21_1515,SlotMachTest,3.2.4,59.70929930923819,
$4.50 ,$6.75 ,50.0,000:0010,LOOK,50%  WIN,100%  WIN,1.0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,19.787922899995465,None,17.769819299981464,None,21.83200090000173,None,1,3.246918499993626,21.83200090000173,None,21.83200090000173,None,21.83200090000173,None,21.83200090000173,None,21.83200090000173,None,21.83200090000173,23.341547499992885,21.83200090000173,None,21.83200090000173,None,,,,,,,,,1,001,2019_Oct_21_1515,SlotMachTest,3.2.4,59.70929930923819,
$2.00 ,$4.25 ,65.0,00010:0020,REGULATE,65%  WIN,100%  WIN,1.0,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,25.843844200018793,None,,,27.867810799973086,None,2,2.4274273999617435,27.867810799973086,None,27.867810799973086,None,27.867810799973086,None,27.867810799973086,None,27.867810799973086,None,27.867810799973086,29.381212199979927,27.867810799973086,None,27.867810799973086,None,,,,,,,,,1,001,2019_Oct_21_1515,SlotMachTest,3.2.4,59.70929930923819,
$3.75 ,$7.50 ,35.0,00020:0030,REGULATE,35%  LOSE,100%  LOSE,0.0,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,31.88221589999739,None,,,33.91493799997261,None,2,2.827745199960191,33.91493799997261,None,33.91493799997261,None,33.91493799997261,None,33.91493799997261,None,33.91493799997261,None,33.91493799997261,35.41791199997533,33.91493799997261,None,33.91493799997261,None,,,,,,,,,1,001,2019_Oct_21_1515,SlotMachTest,3.2.4,59.70929930923819,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.92840069998056,None,space,1.6142029999755323,37.92840069998056,None,,,1,001,2019_Oct_21_1515,SlotMachTest,3.2.4,59.70929930923819,
$4.25 ,$7.00 ,50,000:0010,LOOK,50%  LOSE,100%  LOSE,0,LOSE,-3.5,ad,,,,,0,0,0,0,0,0,0,9,,,,,,,,,,,,,43.59077629999956,None,,,45.594292199995834,None,2,2.5403858000063337,45.594292199995834,None,45.594292199995834,None,45.594292199995834,None,45.594292199995834,None,45.594292199995834,None,45.594292199995834,47.09443719999399,45.594292199995834,None,45.594292199995834,None,,,,,,,41.57932299998356,None,1,001,2019_Oct_21_1515,SlotMachTest,3.2.4,59.70929930923819,
$1.00 ,$4.25 ,35,000:0010,LOOK,35%  WIN,100%  WIN,1,WIN,1.4875,ad,,,,,0,0,0,0,0,1,1,3,,,,,,,,,,,,,49.58015950000845,None,,,51.608379299985245,None,2,2.8461612000246532,51.608379299985245,None,51.608379299985245,None,51.608379299985245,None,51.608379299985245,None,51.608379299985245,None,51.608379299985245,53.11626270000124,51.608379299985245,None,51.608379299985245,None,,,,,,,,,1,001,2019_Oct_21_1515,SlotMachTest,3.2.4,59.70929930923819,
$3.75 ,$5.50 ,65,000:0010,LOOK,65%  LOSE,100%  LOSE,0,LOSE,-3.575,ad,,,,,0,0,0,0,0,2,2,8,,,,,,,,,,,,,55.58642399997916,None,,,57.60704500001157,None,None,,57.60704500001157,None,57.60704500001157,None,57.60704500001157,None,57.60704500001157,None,57.60704500001157,None,57.60704500001157,59.12093089998234,57.60704500001157,None,57.60704500001157,None,,,,,,,,,1,001,2019_Oct_21_1515,SlotMachTest,3.2.4,59.70929930923819,
$1.50 ,$3.85 ,50,000:0010,LOOK,50%  LOSE,100%  LOSE,0,LOSE,-1.925,dis,,,,,0,0,0,0,0,3,3,6,,,,,,,,,,,,,61.59025140001904,None,,,63.61562390002655,None,1,1.0308904999983497,63.61562390002655,None,63.61562390002655,None,63.61562390002655,None,63.61562390002655,None,63.61562390002655,None,63.61562390002655,65.1265269999858,63.61562390002655,None,63.61562390002655,None,,,,,,,,,1,001,2019_Oct_21_1515,SlotMachTest,3.2.4,59.70929930923819,
$4.25 ,$10.75 ,35,000:0010,LOOK,35%  WIN,100%  WIN,1,WIN,3.7625,dis,,,,,0,0,0,0,0,4,4,1,,,,,,,,,,,,,67.57847419998143,None,,,69.59839609998744,None,2,0.9847389999777079,69.59839609998744,None,69.59839609998744,None,69.59839609998744,None,69.59839609998744,None,69.59839609998744,None,69.59839609998744,71.09842850000132,69.59839609998744,None,69.59839609998744,None,,,,,,,,,1,001,2019_Oct_21_1515,SlotMachTest,3.2.4,59.70929930923819,
$2.95 ,$6.75 ,35,000:0010,LOOK,35%  LOSE,100%  LOSE,0,LOSE,-2.3625,ad,,,,,0,0,0,0,0,5,5,7,,,,,,,,,,,,,73.58334160002414,None,,,75.60745249997126,None,1,2.303199100017082,75.60745249997126,None,75.60745249997126,None,75.60745249997126,None,75.60745249997126,None,75.60745249997126,None,75.60745249997126,77.11925320001319,75.60745249997126,None,75.60745249997126,None,,,,,,,,,1,001,2019_Oct_21_1515,SlotMachTest,3.2.4,59.70929930923819,
$3.50 ,$7.00 ,35,000:0010,LOOK,35%  WIN,100%  WIN,1,WIN,2.45,dis,,,,,0,0,0,0,0,6,6,4,,,,,,,,,,,,,79.588113899983,None,,,81.60686800000258,None,1,1.3916149000287987,81.60686800000258,None,81.60686800000258,None,81.60686800000258,None,81.60686800000258,None,81.60686800000258,None,81.60686800000258,83.10812910000095,81.60686800000258,None,81.60686800000258,None,,,,,,,,,1,001,2019_Oct_21_1515,SlotMachTest,3.2.4,59.70929930923819,
$8.00 ,$12.50 ,65,000:0010,LOOK,65%  WIN,100%  WIN,1,WIN,8.125,ad,,,,,0,0,0,0,0,7,7,2,,,,,,,,,,,,,85.57796610001242,None,,,87.59663669997826,None,2,1.2258940000319853,87.59663669997826,None,87.59663669997826,None,87.59663669997826,None,87.59663669997826,None,87.59663669997826,None,87.59663669997826,89.09633420000318,87.59663669997826,None,87.59663669997826,None,,,,,,,,,1,001,2019_Oct_21_1515,SlotMachTest,3.2.4,59.70929930923819,
$2.50 ,$6.75 ,50,000:0010,LOOK,50%  WIN,100%  WIN,1,WIN,3.375,ad,,,,,0,0,0,0,0,8,8,0,,,,,,,,,,,,,91.58144229999743,None,,,93.59885529999156,None,2,1.0959432999952696,93.59885529999156,None,93.59885529999156,None,93.59885529999156,None,93.59885529999156,None,93.59885529999156,None,93.59885529999156,95.10143430001335,93.59885529999156,None,93.59885529999156,None,,,,,,,,,1,001,2019_Oct_21_1515,SlotMachTest,3.2.4,59.70929930923819,
$4.25 ,$5.50 ,50,000:0010,LOOK,50%  LOSE,100%  LOSE,0,LOSE,-2.25,dis,,,,,0,0,0,0,0,9,9,5,,,,,,,,,,,,,97.58677609998267,None,,,99.60899330000393,None,1,2.2855967999785207,99.60899330000393,None,99.60899330000393,None,99.60899330000393,None,99.60899330000393,None,99.60899330000393,None,99.60899330000393,101.12314350000815,99.60899330000393,None,99.60899330000393,None,,,,,,,,,1,001,2019_Oct_21_1515,SlotMachTest,3.2.4,59.70929930923819,
$4.50 ,$6.75 ,50.0,000:0010,LOOK,50%  WIN,100%  WIN,1.0,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_21_1515,SlotMachTest,3.2.4,59.70929930923819,
$3.25 ,$7.00 ,50,00010:0020,REGULATE,50%  WIN,100%  WIN,1,WIN,3.5,ad,,,,,0,1,1,1,0,0,0,2,,,,,,,,,,,,,107.57999459997518,None,,,109.59704640001291,None,2,1.2576088000205345,109.59704640001291,None,109.59704640001291,None,109.59704640001291,None,109.59704640001291,None,109.59704640001291,None,109.59704640001291,111.09858330001589,109.59704640001291,None,109.59704640001291,None,,,,,,,105.59582129999762,None,1,001,2019_Oct_21_1515,SlotMachTest,3.2.4,59.70929930923819,
$6.15 ,$9.75 ,35,00010:0020,REGULATE,35%  LOSE,100%  LOSE,0,LOSE,-3.4130000000000003,ad,,,,,0,1,1,1,0,1,1,9,,,,,,,,,,,,,113.58329759998014,None,,,115.60266069998033,None,1,1.684118299977854,115.60266069998033,None,115.60266069998033,None,115.60266069998033,None,115.60266069998033,None,115.60266069998033,None,115.60266069998033,117.10264350002399,115.60266069998033,None,115.60266069998033,None,,,,,,,,,1,001,2019_Oct_21_1515,SlotMachTest,3.2.4,59.70929930923819,
$3.75 ,$5.50 ,65,00010:0020,REGULATE,65%  WIN,100%  WIN,1,WIN,3.575,dis,,,,,0,1,1,1,0,2,2,1,,,,,,,,,,,,,119.58792060002452,None,,,121.60692480002763,None,2,1.4718715999624692,121.60692480002763,None,121.60692480002763,None,121.60692480002763,None,121.60692480002763,None,121.60692480002763,None,121.60692480002763,123.10732240002835,121.60692480002763,None,121.60692480002763,None,,,,,,,,,1,001,2019_Oct_21_1515,SlotMachTest,3.2.4,59.70929930923819,
$2.95 ,$6.75 ,35,00010:0020,REGULATE,35%  WIN,100%  WIN,1,WIN,2.3625,dis,,,,,0,1,1,1,0,3,3,0,,,,,,,,,,,,,125.57618749997346,None,,,127.59304130001692,None,2,1.3097444999730214,127.59304130001692,None,127.59304130001692,None,127.59304130001692,None,127.59304130001692,None,127.59304130001692,None,127.59304130001692,129.09619010001188,127.59304130001692,None,127.59304130001692,None,,,,,,,,,1,001,2019_Oct_21_1515,SlotMachTest,3.2.4,59.70929930923819,
$3.15 ,$4.75 ,35,00010:0020,REGULATE,35%  WIN,100%  WIN,1,WIN,1.663,dis,,,,,0,1,1,1,0,4,4,3,,,,,,,,,,,,,131.58187850000104,None,,,133.60041000001365,None,2,2.454259500023909,133.60041000001365,None,133.60041000001365,None,133.60041000001365,None,133.60041000001365,None,133.60041000001365,None,133.60041000001365,135.10203660000116,133.60041000001365,None,133.60041000001365,None,,,,,,,,,1,001,2019_Oct_21_1515,SlotMachTest,3.2.4,59.70929930923819,
$4.75 ,$7.50 ,65,00010:0020,REGULATE,65%  LOSE,100%  LOSE,0,LOSE,-4.875,dis,,,,,0,1,1,1,0,5,5,7,,,,,,,,,,,,,137.58612599998014,None,,,139.6070615000208,None,2,2.063985800021328,139.6070615000208,None,139.6070615000208,None,139.6070615000208,None,139.6070615000208,None,139.6070615000208,None,139.6070615000208,141.10577490000287,139.6070615000208,None,139.6070615000208,None,,,,,,,,,1,001,2019_Oct_21_1515,SlotMachTest,3.2.4,59.70929930923819,
$2.95 ,$5.00 ,35,00010:0020,REGULATE,35%  WIN,100%  WIN,1,WIN,1.75,dis,,,,,0,1,1,1,0,6,6,4,,,,,,,,,,,,,143.5931665999815,None,,,145.61128299997654,None,2,0.9234825000166893,145.61128299997654,None,145.61128299997654,None,145.61128299997654,None,145.61128299997654,None,145.61128299997654,None,145.61128299997654,147.11107109999284,145.61128299997654,None,145.61128299997654,None,,,,,,,,,1,001,2019_Oct_21_1515,SlotMachTest,3.2.4,59.70929930923819,
$2.75 ,$5.00 ,65,00010:0020,REGULATE,65%  LOSE,100%  LOSE,0,LOSE,-3.25,dis,,,,,0,1,1,1,0,7,7,6,,,,,,,,,,,,,149.58038569998462,None,,,151.59957919997396,None,2,1.9271885000052862,151.59957919997396,None,151.59957919997396,None,151.59957919997396,None,151.59957919997396,None,151.59957919997396,None,151.59957919997396,153.0991976999794,151.59957919997396,None,151.59957919997396,None,,,,,,,,,1,001,2019_Oct_21_1515,SlotMachTest,3.2.4,59.70929930923819,
$1.25 ,$4.50 ,35,00010:0020,REGULATE,35%  LOSE,100%  LOSE,0,LOSE,-1.575,dis,,,,,0,1,1,1,0,8,8,5,,,,,,,,,,,,,155.58576579997316,None,,,157.60733799997251,None,2,1.2476338999695145,157.60733799997251,None,157.60733799997251,None,157.60733799997251,None,157.60733799997251,None,157.60733799997251,None,157.60733799997251,159.12233869999181,157.60733799997251,None,157.60733799997251,None,,,,,,,,,1,001,2019_Oct_21_1515,SlotMachTest,3.2.4,59.70929930923819,
$1.25 ,$4.00 ,35,00010:0020,REGULATE,35%  LOSE,100%  LOSE,0,LOSE,-1.4,dis,,,,,0,1,1,1,0,9,9,8,,,,,,,,,,,,,161.58978520001983,None,,,163.61232309998013,None,2,2.282527300005313,163.61232309998013,None,163.61232309998013,None,163.61232309998013,None,163.61232309998013,None,163.61232309998013,None,163.61232309998013,165.12601639999775,163.61232309998013,None,163.61232309998013,None,,,,,,,,,1,001,2019_Oct_21_1515,SlotMachTest,3.2.4,59.70929930923819,
$2.00 ,$4.25 ,65.0,00010:0020,REGULATE,65%  WIN,100%  WIN,1.0,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_21_1515,SlotMachTest,3.2.4,59.70929930923819,
$3.95 ,$6.00 ,65,00020:0030,REGULATE,65%  LOSE,100%  LOSE,0,LOSE,-3.9,ad,,,,,0,2,2,2,0,0,0,5,,,,,,,,,,,,,171.58123140002135,None,,,173.60311339999316,None,2,1.187565399974119,173.60311339999316,None,173.60311339999316,None,173.60311339999316,None,173.60311339999316,None,173.60311339999316,None,173.60311339999316,175.10089820000576,173.60311339999316,None,173.60311339999316,None,,,,,,,169.57947330002207,None,1,001,2019_Oct_21_1515,SlotMachTest,3.2.4,59.70929930923819,
$4.25 ,$7.00 ,50,00020:0030,REGULATE,50%  WIN,100%  WIN,1,WIN,3.5,dis,,,,,0,2,2,2,0,1,1,3,,,,,,,,,,,,,177.58661190001294,None,,,179.60720799997216,None,2,2.2236290999571793,179.60720799997216,None,179.60720799997216,None,179.60720799997216,None,179.60720799997216,None,179.60720799997216,None,179.60720799997216,181.1065339000197,179.60720799997216,None,179.60720799997216,None,,,,,,,,,1,001,2019_Oct_21_1515,SlotMachTest,3.2.4,59.70929930923819,
